NO#APT2018,NO2APT2018,Εθνικης Αμυνης(1392),Αγιου Δημητριου(1479),Αγιου Δημητριου(1514),Εθνικης Αμυνης(1803),Πανεπιστημιου(1896),Αγιου Δημητριου(2090),Αγιου Δημητριου(2183),Προς Αγιου Δημητριου(727),Αγιου Δημητριου(800),Προς Εθνικης Αμυνης(843)
nan,nan,31.0,47.75,31.333333333333332,nan,29.0,51.0,30.666666666666668,33.0,nan,4.5
nan,nan,nan,46.333333333333336,31.75,nan,nan,53.666666666666664,22.0,nan,nan,7.0
nan,nan,11.0,65.33333333333333,20.0,16.0,91.0,56.0,34.5,36.5,nan,13.5
nan,nan,nan,60.5,27.5,28.0,11.0,50.0,nan,49.0,nan,nan
nan,nan,nan,59.0,nan,nan,10.666666666666666,45.333333333333336,41.0,nan,nan,18.666666666666668
nan,nan,18.0,65.5,38.0,nan,21.0,41.75,29.0,nan,nan,13.0
nan,nan,nan,51.75,27.0,13.666666666666666,43.0,44.75,24.0,42.0,nan,23.0
nan,nan,14.0,36.25,31.75,12.5,22.5,39.75,25.0,30.0,nan,24.666666666666668
nan,nan,12.333333333333334,43.25,27.75,30.0,nan,41.25,21.666666666666668,31.0,nan,25.333333333333332
nan,nan,23.0,41.5,21.75,17.5,nan,45.5,24.25,52.0,11.0,23.666666666666668
nan,nan,4.0,46.25,27.5,15.5,18.5,40.25,26.75,16.0,32.0,29.75
nan,nan,19.0,48.75,26.333333333333332,13.666666666666666,26.5,44.0,24.5,17.5,nan,18.5
nan,nan,31.0,45.25,26.5,4.0,16.75,41.0,20.0,28.0,nan,21.0
nan,nan,nan,46.75,21.5,9.0,nan,38.75,28.75,42.0,nan,25.0
nan,nan,nan,50.5,18.5,17.0,43.0,37.0,24.75,39.5,nan,16.0
nan,nan,13.0,47.5,21.75,16.0,34.0,43.5,30.0,27.0,38.0,22.25
nan,nan,11.0,50.0,23.333333333333332,24.5,nan,44.0,32.0,46.0,24.0,33.333333333333336
nan,nan,4.0,48.0,23.666666666666668,6.5,22.5,40.75,33.0,8.0,13.0,25.5
nan,nan,16.0,44.5,23.75,16.0,24.5,38.0,30.666666666666668,33.0,6.0,20.333333333333332
nan,nan,28.0,46.5,22.25,14.0,28.0,45.5,24.25,18.5,nan,20.0
nan,nan,45.0,50.25,22.5,nan,18.5,50.75,30.75,28.0,nan,nan
nan,nan,13.0,34.5,25.0,6.5,31.5,37.333333333333336,36.5,23.0,nan,12.0
nan,nan,25.0,60.0,27.75,13.0,2.0,44.5,20.0,25.666666666666668,nan,44.0
nan,nan,19.5,58.75,26.5,14.0,nan,55.0,29.333333333333332,nan,nan,20.333333333333332
nan,nan,24.5,53.0,30.0,nan,22.0,53.25,27.666666666666668,nan,nan,17.5
