BenzAGS2018,CO#AGS2018,NO#AGS2018,NO2AGS2018,O3#AGS2018,PM10AGS2018,PM2.5AGS2018,SO2AGS2018,Πλατεια Αγιας Σοφιας(1264),Ερμου(2378),Καρολου Ντηλ(2872),Καρολου Ντηλ(3026),Πλατεια Αγιας Σοφιας(695),Ερμου(808),Πλατεια Αγιας Σοφιας(890),Πλατεια Αγιας Σοφιας(919),Ερμου(975)
7.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.0,25.0,nan,nan,nan,nan,30.0
5.21,nan,nan,nan,nan,nan,nan,nan,14.0,41.5,54.0,38.0,nan,12.0,nan,nan,nan
4.34,nan,nan,nan,nan,nan,nan,nan,nan,29.0,25.0,38.666666666666664,nan,nan,nan,nan,nan
5.41,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,59.0,nan,nan,nan,nan,nan
5.55,nan,nan,nan,nan,nan,nan,nan,nan,38.0,24.0,18.75,14.0,36.0,11.5,nan,35.0
5.62,nan,nan,nan,nan,nan,nan,nan,nan,44.0,nan,nan,16.0,30.5,nan,14.0,31.0
5.96,nan,nan,nan,nan,nan,nan,nan,nan,nan,29.5,27.5,18.0,nan,23.0,nan,20.0
6.23,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.0,9.5,nan,29.333333333333332,nan,10.0,nan
6.06,nan,nan,nan,nan,nan,nan,nan,nan,23.5,nan,17.25,16.5,15.0,19.0,nan,13.0
5.68,nan,nan,nan,nan,nan,nan,nan,9.0,19.0,24.0,14.75,10.333333333333334,32.0,13.0,9.0,26.5
6.46,nan,nan,nan,nan,nan,nan,nan,6.0,14.0,25.0,25.0,9.0,25.0,9.0,16.0,28.0
5.56,nan,nan,nan,nan,nan,nan,nan,nan,20.0,33.0,10.666666666666666,10.0,23.666666666666668,15.0,12.0,30.0
6.18,nan,nan,nan,nan,nan,nan,nan,nan,20.0,21.5,11.0,nan,22.5,nan,18.0,nan
10.14,nan,nan,nan,nan,nan,nan,nan,nan,9.5,17.666666666666668,19.0,14.0,30.0,3.0,14.5,18.0
11.35,nan,nan,nan,nan,nan,nan,nan,15.333333333333334,16.0,14.666666666666666,17.0,7.5,26.5,9.0,20.0,17.333333333333332
17.53,nan,nan,nan,nan,nan,nan,nan,13.0,25.0,29.333333333333332,14.0,3.0,28.0,nan,17.5,nan
14.61,nan,nan,nan,nan,nan,nan,nan,14.0,20.5,24.0,34.5,nan,30.5,nan,nan,24.5
16.42,nan,nan,nan,nan,nan,nan,nan,13.0,29.333333333333332,26.0,25.666666666666668,21.5,25.0,nan,nan,36.0
10.39,nan,nan,nan,nan,nan,nan,nan,11.0,23.0,25.75,23.5,21.0,39.0,5.0,nan,nan
10.18,nan,nan,nan,nan,nan,nan,nan,nan,20.0,19.333333333333332,26.5,15.666666666666666,nan,nan,15.0,nan
14.07,nan,nan,nan,nan,nan,nan,nan,nan,33.0,31.0,29.5,nan,31.0,13.5,nan,33.0
10.47,nan,nan,nan,nan,nan,nan,nan,nan,37.5,10.5,16.5,17.0,26.0,nan,nan,nan
8.0,nan,nan,nan,nan,nan,nan,nan,nan,21.0,nan,45.0,nan,30.0,nan,nan,nan
6.63,nan,nan,nan,nan,nan,nan,nan,nan,31.0,nan,18.5,nan,nan,nan,24.0,nan
3.86,nan,nan,nan,nan,nan,nan,nan,nan,24.0,40.0,15.0,19.0,nan,nan,nan,36.0
3.22,nan,nan,nan,nan,nan,nan,nan,nan,20.333333333333332,19.0,5.0,nan,nan,nan,nan,27.0
3.95,nan,nan,nan,nan,nan,nan,nan,nan,37.0,45.0,nan,nan,27.5,9.0,nan,nan
6.26,nan,nan,nan,nan,nan,nan,nan,24.0,17.5,21.5,21.0,19.666666666666668,25.75,19.0,14.5,18.666666666666668
6.47,nan,nan,nan,nan,nan,nan,nan,12.0,16.75,17.75,17.75,13.5,23.5,4.0,nan,20.5
7.12,nan,nan,nan,nan,nan,nan,nan,20.0,18.75,14.0,22.75,12.0,14.333333333333334,12.0,17.5,16.5
12.56,nan,nan,nan,nan,nan,nan,nan,13.5,9.0,11.333333333333334,10.0,8.0,27.0,25.0,10.0,9.0
9.96,nan,nan,nan,nan,nan,nan,nan,9.75,13.666666666666666,16.5,10.5,13.0,24.0,8.0,nan,18.333333333333332
10.11,nan,nan,nan,nan,nan,nan,nan,14.0,4.0,18.0,13.0,14.0,22.333333333333332,11.666666666666666,1.0,18.0
8.08,nan,nan,nan,nan,nan,nan,nan,nan,16.0,11.0,14.0,9.0,18.0,11.5,nan,15.5
5.37,nan,nan,nan,nan,nan,nan,nan,10.0,nan,22.333333333333332,31.0,14.0,28.333333333333332,13.0,nan,nan
5.61,nan,nan,nan,nan,nan,nan,nan,nan,19.5,32.5,22.666666666666668,35.0,24.5,15.0,11.0,20.0
5.34,nan,nan,nan,nan,nan,nan,nan,12.333333333333334,17.0,14.333333333333334,20.25,6.666666666666667,25.0,16.0,7.666666666666667,8.5
7.86,nan,nan,nan,nan,nan,nan,nan,10.0,16.0,14.5,19.666666666666668,11.0,13.666666666666666,8.5,11.5,17.5
5.5,nan,nan,nan,nan,nan,nan,nan,10.666666666666666,23.333333333333332,15.333333333333334,17.666666666666668,12.0,20.0,8.333333333333334,nan,13.5
5.65,nan,nan,nan,nan,53.0,nan,nan,13.5,13.0,12.5,18.0,13.5,25.0,8.0,11.0,18.666666666666668
7.58,nan,nan,nan,nan,57.0,nan,nan,nan,23.666666666666668,32.666666666666664,27.666666666666668,11.5,20.75,18.0,15.0,nan
5.87,nan,nan,nan,nan,66.0,nan,nan,nan,25.5,18.0,46.0,17.0,25.0,12.0,nan,36.0
5.24,nan,nan,nan,nan,67.0,nan,nan,22.0,28.25,10.666666666666666,21.0,14.666666666666666,27.0,nan,nan,39.0
7.32,nan,nan,nan,nan,76.0,nan,nan,nan,30.0,17.25,29.0,nan,nan,12.0,20.0,30.0
5.72,nan,nan,nan,nan,80.0,nan,nan,nan,28.0,29.5,37.0,23.666666666666668,30.5,13.5,31.0,28.333333333333332
5.32,nan,nan,nan,nan,75.0,nan,nan,nan,28.5,10.0,nan,17.0,19.0,14.0,nan,28.5
4.72,nan,nan,nan,nan,62.0,nan,nan,nan,23.666666666666668,18.0,24.0,nan,nan,nan,nan,28.0
4.12,nan,nan,nan,nan,58.0,nan,nan,nan,30.0,nan,68.0,nan,nan,nan,nan,nan
3.98,nan,nan,nan,nan,53.0,nan,nan,nan,40.0,nan,34.5,nan,nan,nan,nan,23.5
